Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	11	94	27	92	40	49	
		Student 1	62	40	57	65	79	36	
		Student 2	93	84	31	72	11	33	
		Student 3	26	88	88	39	16	89	
		Student 4	30	14	15	24	12	33	
		Student 5	96	10	22	13	59	62	
		Student 6	92	55	29	89	23	25	
		Student 7	47	27	98	81	45	85	
		Student 8	29	37	83	91	99	26	
		Student 9	99	12	11	69	86	61	
		Student 10	22	94	17	20	13	56	
		Student 11	96	66	50	27	71	37	
		Student 12	38	68	99	52	53	16	
		Student 13	47	17	41	32	31	67	
		Student 14	53	17	53	94	44	61	
		Student 15	49	44	97	53	35	31	
		Student 16	32	69	67	89	50	30	
		Student 17	61	68	91	43	18	43	
		Student 18	82	61	37	94	84	85	
		Student 19	16	41	94	31	31	21	
		Student 20	13	53	33	65	92	11	
		Student 21	79	79	97	48	32	43	
		Student 22	89	28	37	32	35	98	
		Student 23	61	89	48	80	90	84	
		Student 24	74	54	67	25	78	38	
		Student 25	82	75	85	95	70	68	
		Student 26	40	19	92	77	25	65	
		Student 27	88	43	96	46	36	27	
		Student 28	13	26	74	38	79	62	
		Student 29	36	88	91	41	69	88	
		Student 30	84	55	95	79	53	95	
		Student 31	52	40	34	27	92	63	
		Student 32	92	25	58	89	14	79	
		Student 33	49	35	96	73	53	87	
		Student 34	33	38	46	15	50	87	
		Student 35	24	69	62	22	19	61	
		Student 36	16	93	33	94	74	39	
		Student 37	84	65	15	26	99	83	
		Student 38	94	69	78	49	87	50	
		Student 39	31	74	75	19	39	56	
		Student 40	38	24	52	30	14	83	
		Student 41	90	28	65	70	20	18	
		Student 42	48	47	21	62	63	21	
		Student 43	32	27	66	88	30	99	
		Student 44	34	98	20	70	51	41	
		Student 45	36	38	76	41	46	35	
		Student 46	26	78	84	95	18	61	
		Student 47	77	81	62	88	80	39	
		Student 48	91	50	27	76	49	60	
		Student 49	79	73	74	70	97	53	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	74	13	75	51	54	59	
		Student 1	59	53	78	76	85	35	
		Student 2	55	12	53	13	32	16	
		Student 3	82	38	85	68	10	32	
		Student 4	73	24	80	43	12	34	
		Student 5	75	18	50	56	16	50	
		Student 6	48	42	62	60	47	69	
		Student 7	68	23	11	32	96	56	
		Student 8	25	45	58	37	44	21	
		Student 9	63	44	53	98	16	56	
