Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	11	50	62	44	37	31	
		Student 1	91	32	83	20	71	66	
		Student 2	25	53	94	24	46	43	
		Student 3	50	78	99	87	51	56	
		Student 4	99	77	69	57	51	74	
		Student 5	79	22	91	54	88	86	
		Student 6	26	34	90	14	61	26	
		Student 7	56	67	88	92	80	27	
		Student 8	75	68	34	40	40	61	
		Student 9	49	41	96	22	20	92	
		Student 10	35	35	81	24	22	16	
		Student 11	27	90	13	98	56	36	
		Student 12	52	53	22	28	47	58	
		Student 13	40	79	84	24	54	41	
		Student 14	60	97	56	17	67	11	
		Student 15	86	26	96	35	44	16	
		Student 16	12	91	86	26	14	68	
		Student 17	41	91	73	45	20	86	
		Student 18	34	37	16	42	93	18	
		Student 19	36	29	54	96	41	77	
		Student 20	48	29	83	33	85	41	
		Student 21	59	91	36	97	34	62	
		Student 22	44	85	93	36	89	78	
		Student 23	63	24	24	30	47	80	
		Student 24	27	66	44	52	83	97	
		Student 25	78	98	51	56	74	31	
		Student 26	70	46	76	52	24	21	
		Student 27	75	37	84	23	40	91	
		Student 28	19	74	82	52	47	83	
		Student 29	33	87	77	23	81	74	
		Student 30	22	65	11	92	71	18	
		Student 31	65	65	63	55	61	79	
		Student 32	25	94	25	24	30	79	
		Student 33	58	11	28	35	60	69	
		Student 34	32	88	35	90	40	12	
		Student 35	85	17	78	90	67	73	
		Student 36	68	99	20	40	74	16	
		Student 37	16	73	47	46	16	96	
		Student 38	57	30	17	19	82	65	
		Student 39	80	35	37	51	23	50	
		Student 40	67	47	50	89	48	38	
		Student 41	22	51	24	60	90	29	
		Student 42	26	30	23	83	40	61	
		Student 43	19	61	66	64	34	41	
		Student 44	77	85	20	38	24	42	
		Student 45	36	94	41	36	32	40	
		Student 46	38	14	13	76	95	86	
		Student 47	73	88	81	14	43	57	
		Student 48	70	74	28	48	73	22	
		Student 49	94	28	98	87	21	10	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	31	62	10	10	72	59	
		Student 1	42	23	53	11	40	27	
		Student 2	88	39	36	49	57	68	
		Student 3	89	49	26	53	78	48	
		Student 4	96	85	86	29	27	99	
		Student 5	61	38	30	86	24	61	
		Student 6	80	57	71	52	93	39	
		Student 7	78	84	44	77	88	15	
		Student 8	35	64	61	69	62	28	
		Student 9	81	89	45	67	66	74	
		Student 10	61	23	78	28	56	91	
		Student 11	70	53	11	74	94	51	
		Student 12	61	15	12	41	55	15	
		Student 13	23	92	56	73	73	91	
		Student 14	12	77	15	32	80	75	
		Student 15	99	22	36	63	73	54	
		Student 16	61	64	24	83	45	37	
		Student 17	88	65	29	47	69	55	
		Student 18	28	27	27	87	59	60	
		Student 19	65	94	74	77	69	15	
		Student 20	71	81	93	91	96	53	
		Student 21	26	74	35	98	80	21	
		Student 22	67	88	74	59	36	18	
		Student 23	19	21	29	82	51	18	
		Student 24	38	72	47	82	43	43	
		Student 25	88	46	25	56	55	75	
		Student 26	90	63	60	74	28	25	
		Student 27	49	70	67	82	84	89	
		Student 28	64	73	24	25	66	90	
		Student 29	46	45	68	54	82	96	
		Student 30	19	19	30	26	47	96	
		Student 31	41	54	89	95	78	88	
		Student 32	29	27	10	82	51	88	
		Student 33	76	62	97	18	46	36	
		Student 34	92	93	31	61	73	90	
		Student 35	36	76	29	92	38	67	
		Student 36	97	34	63	72	97	74	
		Student 37	19	10	68	47	86	86	
		Student 38	91	79	80	21	80	36	
		Student 39	45	99	76	75	57	60	
		Student 40	68	21	80	76	84	53	
		Student 41	14	80	88	35	72	40	
		Student 42	77	28	63	69	31	42	
		Student 43	27	87	81	45	86	99	
		Student 44	64	90	50	11	99	35	
		Student 45	25	76	23	35	95	38	
		Student 46	95	32	83	96	67	43	
		Student 47	55	52	19	27	44	79	
		Student 48	72	96	28	80	85	12	
		Student 49	90	69	13	31	69	14	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	65	96	40	41	37	40	
		Student 1	90	21	49	95	98	21	
		Student 2	40	23	38	21	25	92	
		Student 3	44	61	75	11	34	62	
		Student 4	81	50	23	63	16	71	
		Student 5	30	96	48	65	77	67	
		Student 6	55	82	70	81	67	58	
		Student 7	19	48	63	91	62	41	
		Student 8	80	58	95	45	60	67	
		Student 9	66	80	91	91	79	55	
		Student 10	83	16	94	96	66	94	
		Student 11	72	54	18	28	18	83	
		Student 12	39	14	82	78	97	54	
		Student 13	83	79	58	69	66	77	
		Student 14	56	18	48	36	60	59	
		Student 15	23	21	91	41	69	21	
		Student 16	55	18	83	67	40	59	
		Student 17	24	44	51	72	99	94	
		Student 18	42	81	74	76	73	21	
		Student 19	71	18	60	64	88	88	
		Student 20	30	58	64	63	46	12	
		Student 21	41	81	84	52	14	43	
		Student 22	49	45	87	19	79	82	
		Student 23	60	91	29	19	23	14	
		Student 24	57	64	56	25	16	39	
		Student 25	94	54	53	22	82	29	
		Student 26	73	53	66	81	98	76	
		Student 27	68	68	15	89	83	33	
		Student 28	23	72	93	72	70	44	
		Student 29	84	99	46	26	40	63	
		Student 30	79	45	15	79	23	55	
		Student 31	66	87	18	55	63	71	
		Student 32	75	40	10	91	11	32	
		Student 33	52	15	43	63	41	80	
		Student 34	29	86	71	51	76	68	
		Student 35	46	17	31	28	47	93	
		Student 36	79	83	59	78	93	31	
		Student 37	58	54	82	98	69	55	
		Student 38	27	56	98	39	18	62	
		Student 39	43	82	94	30	12	15	
		Student 40	38	35	61	74	73	21	
		Student 41	92	54	55	62	65	93	
		Student 42	73	39	65	62	84	60	
		Student 43	11	75	39	88	58	34	
		Student 44	40	46	65	42	85	28	
		Student 45	97	47	45	82	43	71	
		Student 46	58	34	42	14	63	57	
		Student 47	13	20	61	41	22	43	
		Student 48	36	82	11	27	93	27	
		Student 49	78	17	68	51	39	81	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	85	19	93	73	52	11	
		Student 1	59	98	35	15	36	72	
		Student 2	80	47	31	32	76	26	
		Student 3	25	50	55	94	40	34	
		Student 4	25	20	49	97	11	11	
		Student 5	48	33	80	55	30	19	
		Student 6	68	50	87	28	31	36	
		Student 7	11	69	91	85	35	33	
		Student 8	84	56	91	21	82	17	
		Student 9	52	75	61	29	88	64	
		Student 10	63	93	60	82	85	26	
		Student 11	88	63	59	80	19	41	
		Student 12	18	68	56	93	55	62	
		Student 13	93	43	48	74	15	99	
		Student 14	14	67	94	56	34	26	
		Student 15	74	86	15	89	51	22	
		Student 16	91	30	47	34	41	26	
